,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,SEASON,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,lessthan5ft_FGM,lessthan5ft_FGA,lessthan5ft_FG_PCT,5_9ft_FGM,5_9ft_FGA,5_9ft_FG_PCT,10_14ft_FGM,10_14ft_FGA,10_14ft_FG_PCT,15_19ft_FGM,15_19ft_FGA,15_19ft_FG_PCT,20_24ft_FGM,20_24ft_FGA,20_24ft_FG_PCT,opp_lessthan5ft_FGM,opp_lessthan5ft_FGA,opp_lessthan5ft_FG_PCT,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,NET_RATING,USG_PCT,TS_PCT,B2B_COUNT,3GMS_IN_4DAYS,4GMS_IN_5DAYS,PACE,PIE
0,201166,Aaron Brooks,1610612745,HOU,23.0,51,36,15,0.706,11.9,1.8,4.4,0.413,0.7,2.1,0.33,0.8,1.0,0.857,0.3,0.8,1.1,1.7,0.9,0.3,0.1,0.2,1.4,1.0,5.2,-0.1,2007,0.516,0.484,0.432,0.106,0.409,0.136,0.159,0.14,0.326,0.211,0.789,0.917,0.083,0.484,0.516,0.7,1.3,0.554,0.1,0.2,0.556,0.1,0.3,0.364,0.2,0.4,0.438,0.4,1.3,0.281,3.6,5.9,0.62,72,161,-0.5,0.224,0.535,18,27,3,90.85,0.088
1,201189,Aaron Gray,1610612741,CHI,23.0,61,23,38,0.377,10.1,1.7,3.3,0.505,0.0,0.0,0.0,0.9,1.6,0.566,1.1,1.6,2.8,0.7,0.9,0.3,0.3,0.5,1.9,1.3,4.3,-0.4,2007,0.995,0.005,0.786,0.069,0.0,0.05,0.214,0.08,0.718,0.505,0.495,0.0,0.0,0.505,0.495,1.1,2.0,0.556,0.4,0.9,0.49,0.2,0.4,0.4,0.0,0.2,0.182,0.0,0.0,0.0,2.9,4.9,0.58,84,270,-1.0,0.221,0.529,20,29,4,95.35,0.074
2,1425,Aaron Williams,1610612746,LAC,36.0,30,9,21,0.3,9.9,0.9,1.8,0.491,0.0,0.0,0.0,0.5,0.6,0.778,0.5,1.5,2.0,0.3,0.4,0.4,0.5,0.2,1.5,0.7,2.3,-3.3,2007,1.0,0.0,0.794,0.118,0.0,0.0,0.206,0.044,0.676,0.556,0.444,0.0,0.0,0.556,0.444,0.5,1.0,0.517,0.2,0.4,0.5,0.2,0.3,0.625,0.0,0.2,0.2,0.0,0.0,0.0,3.8,6.4,0.597,81,235,-15.9,0.118,0.54,20,29,1,94.95,0.065
3,201151,Acie Law,1610612737,ATL,23.0,56,25,31,0.446,15.5,1.7,4.2,0.401,0.1,0.6,0.206,0.7,0.9,0.792,0.2,0.8,1.0,2.0,1.0,0.5,0.0,0.4,1.3,1.0,4.2,-2.2,2007,0.857,0.143,0.749,0.204,0.089,0.191,0.162,0.17,0.545,0.295,0.705,0.857,0.143,0.337,0.663,1.0,1.9,0.523,0.1,0.3,0.412,0.1,0.4,0.238,0.2,0.8,0.302,0.2,0.5,0.407,5.6,9.7,0.582,75,195,-7.2,0.164,0.455,22,25,2,93.56,0.054
4,1502,Adonal Foyle,1610612753,ORL,33.0,82,52,30,0.634,9.4,0.9,1.9,0.458,0.0,0.0,0.0,0.2,0.4,0.471,0.9,1.7,2.5,0.2,0.4,0.2,0.5,0.3,1.1,0.5,1.9,-0.2,2007,1.0,0.0,0.897,0.013,0.0,0.013,0.103,0.128,0.885,0.629,0.371,0.0,0.0,0.629,0.371,0.6,1.2,0.485,0.3,0.6,0.5,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,5.3,0.55,82,270,0.4,0.123,0.464,20,23,2,91.85,0.07
5,1559,Adrian Griffin,1610612760,SEA,33.0,35,10,25,0.286,8.8,0.9,2.2,0.395,0.0,0.0,0.0,0.1,0.3,0.556,0.8,0.9,1.7,0.8,0.6,0.5,0.1,0.1,0.8,0.2,1.9,0.3,2007,1.0,0.0,0.923,0.246,0.0,0.092,0.077,0.123,0.677,0.433,0.567,0.0,0.0,0.433,0.567,0.4,0.9,0.419,0.2,0.4,0.364,0.3,0.7,0.444,0.2,0.5,0.333,0.0,0.0,0.0,2.0,4.0,0.496,77,230,0.4,0.146,0.406,15,27,2,93.78,0.063
6,1733,Al Harrington,1610612744,GSW,28.0,81,48,33,0.593,27.0,5.0,11.4,0.434,1.9,5.0,0.375,1.8,2.3,0.774,1.3,4.1,5.4,1.6,1.1,0.9,0.2,0.5,3.3,2.2,13.6,1.9,2007,0.558,0.442,0.45,0.129,0.417,0.121,0.133,0.187,0.321,0.484,0.516,1.0,0.0,0.681,0.319,2.0,3.3,0.596,0.2,0.7,0.296,0.2,0.5,0.462,0.4,1.1,0.375,1.1,3.0,0.383,10.2,16.8,0.606,81,250,3.0,0.211,0.547,20,29,4,101.18,0.093
7,201143,Al Horford,1610612737,ATL,22.0,81,37,44,0.457,31.4,4.1,8.2,0.499,0.0,0.1,0.0,1.9,2.6,0.731,3.1,6.6,9.7,1.5,1.7,0.7,0.9,0.6,3.3,2.2,10.1,-1.4,2007,0.993,0.007,0.811,0.19,0.0,0.129,0.189,0.171,0.621,0.676,0.324,0.0,0.0,0.676,0.324,2.3,3.7,0.613,0.8,1.8,0.448,0.3,0.8,0.385,0.7,1.8,0.395,0.0,0.1,0.25,11.7,19.6,0.594,82,245,-2.4,0.162,0.539,22,25,2,92.77,0.104
8,2744,Al Jefferson,1610612750,MIN,23.0,82,22,60,0.268,35.6,8.8,17.6,0.5,0.0,0.1,0.0,3.5,4.8,0.721,3.8,7.4,11.1,1.4,2.0,0.9,1.5,1.5,2.7,3.9,21.0,-6.7,2007,0.997,0.003,0.835,0.199,0.0,0.017,0.165,0.118,0.636,0.51,0.49,0.0,0.0,0.51,0.49,4.5,7.1,0.642,2.4,5.4,0.455,1.1,3.0,0.367,0.7,1.9,0.354,0.0,0.2,0.231,12.9,20.4,0.63,82,265,-11.2,0.276,0.535,21,26,3,93.65,0.147
9,201154,Al Thornton,1610612746,LAC,24.0,79,23,56,0.291,27.3,4.7,11.0,0.429,0.5,1.6,0.331,2.7,3.6,0.743,1.2,3.3,4.5,1.2,1.6,0.6,0.5,0.7,2.5,3.0,12.7,-5.1,2007,0.851,0.149,0.659,0.259,0.128,0.118,0.213,0.143,0.4,0.544,0.456,0.93,0.07,0.588,0.412,2.0,3.3,0.613,0.3,0.9,0.388,0.4,1.3,0.354,0.9,2.9,0.33,0.7,1.7,0.407,10.4,17.0,0.608,80,220,-9.2,0.242,0.504,20,29,1,93.8,0.083
10,201169,Alando Tucker,1610612756,PHX,24.0,6,6,0,1.0,8.0,1.3,3.7,0.364,0.2,0.7,0.25,0.8,1.0,0.833,0.7,0.7,1.3,0.0,0.0,0.0,0.2,0.5,0.3,0.8,3.7,-1.0,2007,0.818,0.182,0.636,0.091,0.136,0.0,0.227,0.091,0.545,0.571,0.429,1.0,0.0,0.625,0.375,0.8,2.2,0.385,0.0,0.0,0.0,0.3,0.5,0.5,0.0,0.3,0.0,0.2,0.5,0.333,1.3,2.8,0.471,78,205,-0.2,0.25,0.446,17,24,3,91.62,0.079
11,200792,Alexander Johnson,1610612748,MIA,25.0,43,4,39,0.093,12.8,1.4,2.9,0.488,0.0,0.0,0.0,1.3,1.9,0.687,0.7,1.4,2.2,0.3,1.0,0.3,0.2,0.3,1.9,1.6,4.2,-2.9,2007,1.0,0.0,0.682,0.279,0.0,0.045,0.318,0.179,0.402,0.656,0.344,0.0,0.0,0.656,0.344,0.8,1.4,0.576,0.1,0.4,0.25,0.1,0.3,0.182,0.5,1.0,0.55,0.0,0.1,0.0,3.8,5.5,0.702,81,230,-12.3,0.181,0.554,21,30,4,89.83,0.045
12,947,Allen Iverson,1610612743,DEN,33.0,82,50,32,0.61,41.8,8.7,19.0,0.458,1.2,3.4,0.345,7.9,9.7,0.809,0.6,2.4,3.0,7.1,3.0,2.0,0.1,1.2,1.3,7.7,26.4,4.4,2007,0.823,0.177,0.57,0.208,0.132,0.171,0.298,0.168,0.362,0.222,0.778,0.811,0.189,0.301,0.699,3.5,6.1,0.571,1.0,2.2,0.434,1.0,2.3,0.442,1.7,4.0,0.419,0.9,2.5,0.351,14.9,25.2,0.592,72,180,5.8,0.266,0.567,20,25,3,102.19,0.136
13,297,Alonzo Mourning,1610612748,MIA,38.0,25,7,18,0.28,15.6,2.1,3.8,0.547,0.0,0.0,0.0,1.8,3.0,0.592,1.4,2.4,3.7,0.3,1.0,0.2,1.7,0.4,2.2,2.4,6.0,-1.0,2007,1.0,0.0,0.698,0.04,0.0,0.047,0.302,0.181,0.658,0.577,0.423,0.0,0.0,0.577,0.423,1.4,2.1,0.642,0.7,1.5,0.447,0.0,0.1,0.5,0.0,0.1,0.0,0.0,0.0,0.0,4.6,8.8,0.516,82,261,-0.4,0.182,0.58,21,30,4,95.75,0.088
14,2405,Amar'e Stoudemire,1610612756,PHX,25.0,79,53,26,0.671,33.9,9.0,15.3,0.59,0.1,0.4,0.161,7.0,8.7,0.805,2.3,6.8,9.1,1.5,2.2,0.8,2.1,1.0,3.7,6.2,25.2,5.3,2007,0.974,0.026,0.713,0.162,0.008,0.092,0.28,0.131,0.551,0.701,0.299,0.4,0.6,0.699,0.301,5.5,7.6,0.721,1.3,2.9,0.434,0.7,1.5,0.496,1.3,2.6,0.5,0.3,0.6,0.48,12.0,20.6,0.585,82,249,8.3,0.282,0.656,17,24,3,99.0,0.168
15,101161,Amir Johnson,1610612765,DET,21.0,62,49,13,0.79,12.3,1.5,2.7,0.558,0.0,0.0,0.0,0.6,0.9,0.673,1.4,2.4,3.8,0.5,0.6,0.4,1.3,0.2,2.3,0.9,3.6,2.9,2007,1.0,0.0,0.833,0.036,0.0,0.172,0.167,0.186,0.796,0.511,0.489,0.0,0.0,0.511,0.489,1.3,2.0,0.667,0.1,0.5,0.304,0.1,0.2,0.273,0.0,0.1,0.0,0.0,0.0,0.0,3.3,6.7,0.486,81,210,14.1,0.136,0.584,20,28,3,93.37,0.108
16,2760,Anderson Varejao,1610612739,CLE,25.0,48,28,20,0.583,27.5,2.8,6.1,0.461,0.0,0.0,0.0,1.0,1.7,0.598,2.8,5.5,8.3,1.1,1.2,0.8,0.5,0.5,2.8,2.4,6.7,1.5,2007,0.993,0.007,0.847,0.156,0.0,0.053,0.153,0.15,0.692,0.64,0.36,0.0,0.0,0.64,0.36,1.9,3.5,0.55,0.3,0.9,0.333,0.2,0.6,0.333,0.4,1.0,0.362,0.0,0.1,0.4,8.9,15.1,0.59,82,240,2.8,0.136,0.485,21,27,2,90.07,0.093
17,101154,Andray Blatche,1610612764,WAS,21.0,82,43,39,0.524,20.4,3.1,6.5,0.474,0.0,0.2,0.231,1.3,1.9,0.695,2.0,3.2,5.2,1.1,1.4,0.6,1.4,0.7,3.1,1.7,7.5,-2.9,2007,0.976,0.024,0.812,0.181,0.015,0.123,0.173,0.17,0.631,0.51,0.49,1.0,0.0,0.516,0.484,2.0,3.5,0.577,0.3,0.8,0.391,0.2,0.5,0.3,0.4,1.3,0.324,0.2,0.4,0.5,6.8,11.2,0.611,83,248,-5.8,0.199,0.512,20,27,3,91.85,0.084
18,2857,Andre Barrett,1610612746,LAC,26.0,4,0,4,0.0,6.3,0.5,1.3,0.4,0.3,0.8,0.333,0.3,0.5,0.5,0.0,0.3,0.3,1.8,0.3,0.0,0.0,0.0,0.3,0.3,1.5,-4.3,2007,0.4,0.6,0.333,0.333,0.5,0.167,0.167,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.5,0.5,1.0,2.0,3.5,0.571,70,173,-32.1,0.122,0.51,20,29,1,94.97,0.094
19,2810,Andre Brown,1610612763,MEM,27.0,33,8,25,0.242,8.7,1.2,2.4,0.5,0.0,0.0,0.0,0.7,1.5,0.449,1.1,1.7,2.8,0.2,0.4,0.2,0.1,0.1,1.2,1.0,3.0,-1.8,2007,1.0,0.0,0.78,0.06,0.0,0.06,0.22,0.2,0.72,0.692,0.308,0.0,0.0,0.692,0.308,0.9,1.3,0.682,0.2,0.8,0.222,0.2,0.4,0.4,0.0,0.2,0.167,0.0,0.0,0.0,3.8,5.4,0.704,81,245,-12.2,0.172,0.502,21,18,1,97.28,0.069
20,2738,Andre Iguodala,1610612755,PHI,24.0,82,40,42,0.488,39.5,7.1,15.6,0.456,1.2,3.7,0.329,4.5,6.2,0.721,1.0,4.4,5.4,4.8,2.6,2.1,0.6,0.3,2.3,4.3,19.9,0.1,2007,0.76,0.24,0.59,0.247,0.186,0.228,0.224,0.212,0.344,0.466,0.534,0.772,0.228,0.519,0.481,3.1,4.5,0.681,0.3,0.8,0.371,0.3,1.1,0.275,1.7,4.1,0.425,1.2,3.3,0.376,13.9,23.7,0.585,78,207,-0.5,0.24,0.543,22,28,2,92.57,0.133
21,1889,Andre Miller,1610612755,PHI,32.0,82,40,42,0.488,36.8,6.9,14.1,0.492,0.0,0.4,0.088,3.1,4.1,0.772,1.2,2.8,4.0,6.9,2.5,1.3,0.1,0.8,2.2,3.0,17.0,-0.8,2007,0.971,0.029,0.81,0.346,0.006,0.177,0.184,0.137,0.464,0.32,0.68,0.667,0.333,0.322,0.678,2.8,4.6,0.613,0.8,1.6,0.5,1.5,3.3,0.458,1.6,3.7,0.427,0.1,0.4,0.344,13.1,22.5,0.585,74,200,-1.8,0.227,0.537,22,28,2,92.64,0.13
22,101261,Andre Owens,1610612754,IND,27.0,31,12,19,0.387,12.6,1.3,3.5,0.374,0.6,1.3,0.45,0.8,1.1,0.735,0.4,1.1,1.5,1.5,0.8,0.4,0.1,0.4,1.2,1.7,4.0,-0.5,2007,0.626,0.374,0.358,0.098,0.439,0.081,0.203,0.146,0.26,0.182,0.818,0.833,0.167,0.475,0.525,0.5,1.1,0.4,0.0,0.1,0.333,0.1,0.5,0.182,0.1,0.4,0.273,0.3,0.8,0.435,3.8,6.8,0.561,76,200,-0.4,0.163,0.504,22,23,2,99.12,0.07
23,200745,Andrea Bargnani,1610612761,TOR,22.0,78,39,39,0.5,23.9,3.6,9.3,0.386,1.2,3.3,0.345,1.8,2.2,0.84,0.6,3.1,3.7,1.1,1.1,0.3,0.5,0.3,2.7,2.1,10.2,1.6,2007,0.64,0.36,0.48,0.245,0.341,0.061,0.179,0.13,0.235,0.711,0.289,0.956,0.044,0.789,0.211,1.0,1.9,0.5,0.2,0.4,0.412,0.2,0.6,0.383,0.7,1.9,0.373,0.9,2.7,0.325,8.3,13.2,0.628,84,250,3.7,0.226,0.495,20,31,3,92.15,0.061
