,Unnamed: 0,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,DD2,TD3,CFID,CFPARAMS,SEASON
0,0,201985,A.J. Price,1610612764,WAS,26.0,57,21,36,0.368,22.4,2.8,7.2,0.39,1.2,3.5,0.35,0.9,1.1,0.79,0.4,1.6,2.0,3.6,1.1,0.6,0.1,0.2,1.3,1.2,7.7,-1.1,1,0,5,"201985,1610612764",2012
1,1,201166,Aaron Brooks,1610612745,HOU,28.0,53,20,33,0.377,18.8,2.7,6.0,0.453,0.9,2.5,0.373,0.8,1.0,0.769,0.2,1.3,1.5,2.2,1.3,0.6,0.2,0.6,1.8,1.3,7.1,-3.8,0,0,5,"201166,1610612745",2012
2,2,201189,Aaron Gray,1610612761,TOR,28.0,42,14,28,0.333,12.2,1.1,2.1,0.533,0.0,0.0,0.0,0.5,1.0,0.523,1.1,2.0,3.2,0.8,0.9,0.2,0.1,0.3,2.0,0.9,2.8,-2.1,1,0,5,"201189,1610612761",2012
3,3,1733,Al Harrington,1610612753,ORL,33.0,10,3,7,0.3,11.9,2.0,5.7,0.351,0.8,3.0,0.267,0.3,0.4,0.75,0.6,2.1,2.7,1.0,0.7,0.4,0.1,0.1,1.8,0.3,5.1,-3.5,0,0,5,"1733,1610612753",2012
4,4,201143,Al Horford,1610612737,ATL,27.0,74,42,32,0.568,37.3,7.8,14.3,0.543,0.0,0.1,0.5,1.8,2.8,0.644,2.6,7.6,10.2,3.2,2.0,1.1,1.1,0.5,2.2,2.6,17.4,2.2,43,0,5,"201143,1610612737",2012
5,5,2744,Al Jefferson,1610612762,UTA,28.0,78,41,37,0.526,33.1,7.8,15.8,0.494,0.0,0.2,0.118,2.1,2.8,0.77,2.0,7.2,9.2,2.1,1.3,1.0,1.1,1.1,2.2,2.3,17.8,-2.0,37,0,5,"2744,1610612762",2012
6,6,202329,Al-Farouq Aminu,1610612740,NOH,22.0,76,25,51,0.329,27.2,3.0,6.2,0.475,0.1,0.3,0.211,1.3,1.8,0.737,1.8,5.9,7.7,1.4,1.5,1.2,0.7,0.5,2.0,1.3,7.3,-1.0,10,0,5,"202329,1610612740",2012
7,7,101187,Alan Anderson,1610612761,TOR,30.0,65,31,34,0.477,23.0,3.6,9.5,0.383,1.5,4.4,0.333,1.9,2.3,0.857,0.5,1.8,2.3,1.6,1.2,0.7,0.1,0.5,2.0,2.4,10.7,-1.2,0,0,5,"101187,1610612761",2012
8,8,202692,Alec Burks,1610612762,UTA,21.0,64,32,32,0.5,17.8,2.5,6.1,0.42,0.5,1.4,0.359,1.4,2.0,0.713,0.6,1.7,2.3,1.4,1.2,0.5,0.2,0.5,1.8,1.9,7.0,1.5,0,0,5,"202692,1610612762",2012
9,9,203144,Alexey Shved,1610612750,MIN,24.0,77,30,47,0.39,23.9,3.1,8.2,0.372,1.1,3.7,0.295,1.4,1.9,0.72,0.5,1.7,2.3,3.7,1.9,0.7,0.4,0.5,1.5,1.8,8.6,-1.0,2,0,5,"203144,1610612750",2012
10,10,202087,Alonzo Gee,1610612739,CLE,26.0,82,24,58,0.293,31.0,3.7,9.1,0.41,0.8,2.7,0.315,2.0,2.5,0.795,0.9,3.0,3.9,1.6,1.6,1.3,0.4,1.0,2.4,1.7,10.3,-4.3,2,0,5,"202087,1610612739",2012
11,11,2405,Amar'e Stoudemire,1610612752,NYK,30.0,29,16,13,0.552,23.5,5.3,9.2,0.577,0.0,0.0,0.0,3.6,4.5,0.808,2.1,2.9,5.0,0.4,1.7,0.3,0.7,1.1,3.1,3.4,14.2,1.0,0,0,5,"2405,1610612752",2012
12,12,101161,Amir Johnson,1610612761,TOR,26.0,81,34,47,0.42,28.7,4.1,7.5,0.554,0.1,0.2,0.385,1.7,2.3,0.727,2.8,4.7,7.5,1.5,1.4,1.0,1.4,0.4,3.7,2.2,10.0,2.6,15,0,5,"101161,1610612761",2012
