,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,opp_lessthan5ft_FGM,opp_lessthan5ft_FGA,opp_lessthan5ft_FG_PCT,SEASON
0,920,A.C. Green,1610612742,DAL,35.0,6.2,11.1,0.555,1998
1,243,Aaron McKie,1610612755,PHI,26.0,5.8,9.5,0.613,1998
2,1425,Aaron Williams,1610612760,SEA,27.0,4.0,6.6,0.606,1998
3,228,Adam Keefe,1610612762,UTA,29.0,4.4,7.3,0.601,1998
4,1502,Adonal Foyle,1610612744,GSW,24.0,4.0,7.3,0.545,1998
5,1817,Adonis Jordan,1610612749,MIL,28.0,1.5,3.3,0.462,1998
6,1733,Al Harrington,1610612754,IND,19.0,1.8,3.1,0.561,1998
7,673,Alan Henderson,1610612737,ATL,26.0,8.7,15.9,0.545,1998
8,275,Allan Houston,1610612752,NYK,28.0,8.7,17.3,0.504,1998
9,947,Allen Iverson,1610612755,PHI,24.0,11.4,19.1,0.595,1998
10,297,Alonzo Mourning,1610612748,MIA,29.0,8.3,17.8,0.465,1998
11,1591,Alvin Sims,1610612756,PHX,24.0,2.8,4.8,0.579,1998
12,1541,Alvin Williams,1610612761,TOR,24.0,6.3,11.0,0.569,1998
13,1754,Andrae Patterson,1610612750,MIN,23.0,2.3,3.8,0.598,1998
14,692,Andrew DeClercq,1610612739,CLE,26.0,7.9,13.1,0.603,1998
15,1845,Andrew Gaze,1610612759,SAS,33.0,0.7,1.5,0.483,1998
16,457,Andrew Lang,1610612741,CHI,33.0,5.9,9.9,0.599,1998
17,358,Anfernee Hardaway,1610612753,ORL,27.0,13.0,21.8,0.596,1998
18,1712,Antawn Jamison,1610612744,GSW,23.0,7.1,12.1,0.587,1998
19,138,Anthony Avent,1610612762,UTA,29.0,3.0,5.4,0.556,1998
20,1533,Anthony Johnson,1610612737,ATL,24.0,4.8,8.4,0.578,1998
21,292,Anthony Miller,1610612745,HOU,27.0,2.6,4.1,0.622,1998
22,1515,Anthony Parker,1610612755,PHI,24.0,0.5,0.5,1.0,1998
23,324,Anthony Peeler,1610612750,MIN,29.0,9.1,15.9,0.57,1998
24,156,Antoine Carr,1610612745,HOU,37.0,1.9,4.2,0.453,1998
25,952,Antoine Walker,1610612738,BOS,22.0,15.5,25.9,0.6,1998
26,1498,Antonio Daniels,1610612759,SAS,24.0,3.8,7.0,0.54,1998
27,213,Antonio Davis,1610612754,IND,30.0,7.0,12.5,0.558,1998
28,226,Antonio Lang,1610612739,CLE,27.0,1.7,3.5,0.486,1998
29,686,Antonio McDyess,1610612743,DEN,24.0,14.5,23.1,0.625,1998
30,288,Armen Gilliam,1610612749,MIL,35.0,5.9,10.4,0.568,1998
31,717,Arvydas Sabonis,1610612757,POR,34.0,8.0,15.3,0.52,1998
32,1506,Austin Croshere,1610612754,IND,24.0,2.3,4.1,0.564,1998
33,422,Avery Johnson,1610612759,SAS,34.0,9.3,18.2,0.508,1998
34,769,B.J. Armstrong,1610612753,ORL,31.0,3.3,6.4,0.505,1998
35,989,Ben Davis,1610612752,NYK,26.0,0.3,0.6,0.4,1998
36,1112,Ben Wallace,1610612764,WAS,24.0,8.3,14.5,0.571,1998
37,104,Benoit Benjamin,1610612755,PHI,34.0,2.0,3.0,0.667,1998
38,223,Bill Curley,1610612750,MIN,27.0,3.3,5.9,0.565,1998
39,82,Bill Wennington,1610612741,CHI,36.0,3.5,6.0,0.579,1998
40,182,Billy Owens,1610612760,SEA,30.0,6.7,10.6,0.631,1998
41,902,Bimbo Coles,1610612744,GSW,31.0,8.3,14.2,0.585,1998
42,183,Bison Dele,1610612765,DET,30.0,6.7,11.8,0.565,1998
43,898,Blue Edwards,1610612748,MIA,33.0,3.0,5.8,0.511,1998
44,448,Bo Outlaw,1610612753,ORL,28.0,8.2,14.5,0.567,1998
45,682,Bob Sura,1610612739,CLE,26.0,5.0,8.9,0.565,1998
46,1517,Bobby Jackson,1610612750,MIN,26.0,5.6,9.9,0.565,1998
47,184,Bobby Phills,1610612766,CHH,29.0,11.9,20.7,0.574,1998
48,1719,Bonzi Wells,1610612757,POR,22.0,1.3,2.6,0.5,1998
49,1802,Brad Miller,1610612766,CHH,23.0,4.3,7.3,0.588,1998
50,1585,Brandon Williams,1610612759,SAS,24.0,0.3,0.3,1.0,1998
51,699,Brent Barry,1610612741,CHI,27.0,10.8,17.9,0.603,1998
52,85,Brent Price,1610612745,HOU,30.0,5.8,10.7,0.542,1998
53,1510,Brevin Knight,1610612739,CLE,23.0,9.7,17.0,0.574,1998
54,967,Brian Evans,1610612750,MIN,25.0,2.6,4.7,0.547,1998
55,258,Brian Grant,1610612757,POR,27.0,10.0,18.0,0.553,1998
56,216,Brian Shaw,1610612757,POR,33.0,1.0,1.0,1.0,1998
57,1730,Brian Skinner,1610612746,LAC,23.0,4.3,7.2,0.599,1998
58,1477,Bruce Bowen,1610612738,BOS,28.0,5.4,10.3,0.529,1998
59,1743,Bruno Sundov,1610612742,DAL,19.0,1.0,1.3,0.75,1998
60,735,Bryant Reeves,1610612763,VAN,26.0,9.8,15.3,0.639,1998
61,179,Bryant Stith,1610612743,DEN,28.0,10.5,16.5,0.639,1998
62,1724,Bryce Drew,1610612745,HOU,24.0,4.1,6.9,0.597,1998
63,935,Bryon Russell,1610612762,UTA,28.0,9.1,17.1,0.534,1998
64,384,Calbert Cheaney,1610612764,WAS,27.0,8.3,14.1,0.589,1998
65,61,Carl Herrera,1610612743,DEN,32.0,3.7,5.9,0.627,1998
66,435,Carlos Rogers,1610612757,POR,28.0,1.0,2.0,0.5,1998
67,1745,Casey Shaw,1610612755,PHI,23.0,0.6,0.7,0.833,1998
68,76,Cedric Ceballos,1610612742,DAL,29.0,9.6,16.6,0.579,1998
69,1538,Cedric Henderson,1610612739,CLE,24.0,10.6,17.6,0.602,1998
70,787,Charles Barkley,1610612745,HOU,36.0,10.7,18.9,0.565,1998
71,1525,Charles O'Bannon,1610612765,DET,24.0,2.3,4.5,0.506,1998
72,891,Charles Oakley,1610612761,TOR,35.0,8.9,15.7,0.568,1998
73,1869,Charles R. Jones,1610612741,CHI,23.0,6.1,9.9,0.613,1998
74,1593,Charles Shackleford,1610612766,CHH,33.0,3.8,6.5,0.574,1998
75,1520,Charles Smith,1610612746,LAC,23.0,5.3,8.6,0.616,1998
76,369,Charlie Ward,1610612752,NYK,28.0,6.9,14.3,0.481,1998
77,1497,Chauncey Billups,1610612743,DEN,22.0,13.3,20.5,0.651,1998
78,685,Cherokee Parks,1610612763,VAN,26.0,8.8,14.1,0.624,1998
79,1512,Chris Anstey,1610612742,DAL,24.0,4.1,7.0,0.587,1998
80,713,Chris Carr,1610612751,NJN,25.0,4.2,7.4,0.568,1998
81,164,Chris Childs,1610612752,NYK,31.0,6.1,11.7,0.52,1998
82,1544,Chris Crawford,1610612737,ATL,24.0,4.6,8.8,0.527,1998
83,201,Chris Dudley,1610612752,NYK,34.0,3.4,6.5,0.522,1998
84,423,Chris Gatling,1610612749,MIL,31.0,4.9,9.2,0.53,1998
85,12,Chris King,1610612762,UTA,29.0,1.8,3.4,0.519,1998
86,168,Chris Mills,1610612744,GSW,29.0,8.9,15.4,0.575,1998
87,356,Chris Morris,1610612756,PHX,33.0,3.5,5.8,0.61,1998
88,904,Chris Mullin,1610612754,IND,35.0,6.9,12.6,0.547,1998
89,185,Chris Webber,1610612758,SAC,26.0,14.5,23.9,0.605,1998
90,43,Chris Whitney,1610612764,WAS,27.0,3.4,5.8,0.59,1998
91,363,Christian Laettner,1610612765,DET,29.0,6.5,10.9,0.594,1998
92,456,Chuck Person,1610612766,CHH,35.0,6.7,11.3,0.594,1998
93,359,Chucky Brown,1610612766,CHH,31.0,8.0,13.6,0.587,1998
94,221,Clar. Weatherspoon,1610612748,MIA,28.0,5.4,10.1,0.536,1998
95,361,Clifford Robinson,1610612756,PHX,32.0,10.5,17.9,0.587,1998
96,1133,Corey Beck,1610612766,CHH,28.0,2.6,4.4,0.585,1998
97,1736,Corey Benjamin,1610612741,CHI,21.0,4.1,6.9,0.602,1998
98,916,Corie Blount,1610612739,CLE,30.0,4.5,7.9,0.572,1998
99,722,Corliss Williamson,1610612758,SAC,25.0,9.7,16.1,0.599,1998
100,724,Cory Alexander,1610612743,DEN,26.0,6.3,11.4,0.549,1998
101,1757,Cory Carr,1610612741,CHI,23.0,5.0,8.3,0.598,1998
102,1749,Cuttino Mobley,1610612745,HOU,23.0,9.0,15.9,0.567,1998
103,905,Dale Davis,1610612754,IND,30.0,8.1,15.0,0.539,1998
104,107,Dale Ellis,1610612760,SEA,38.0,9.2,14.8,0.621,1998
105,1800,Damon Jones,1610612738,BOS,22.0,4.8,8.8,0.552,1998
106,757,Damon Stoudamire,1610612757,POR,25.0,10.6,19.3,0.55,1998
107,105,Dan Majerle,1610612748,MIA,33.0,8.0,16.6,0.482,1998
108,7,Dan Schayes,1610612753,ORL,40.0,1.7,3.5,0.493,1998
109,344,Dana Barros,1610612738,BOS,32.0,8.3,14.7,0.562,1998
110,198,Danny Ferry,1610612739,CLE,32.0,6.6,11.1,0.596,1998
111,1504,Danny Fortson,1610612743,DEN,23.0,10.7,17.2,0.622,1998
112,330,Danny Manning,1610612756,PHX,33.0,7.2,12.5,0.575,1998
113,353,Darrell Armstrong,1610612753,ORL,31.0,9.7,16.3,0.598,1998
114,239,Darrick Martin,1610612746,LAC,28.0,9.8,15.7,0.623,1998
115,764,David Robinson,1610612759,SAS,33.0,8.1,16.4,0.494,1998
116,710,David Vaughn,1610612751,NJN,26.0,4.0,6.4,0.625,1998
117,133,David Wesley,1610612766,CHH,28.0,11.7,20.2,0.58,1998
118,766,David Wingate,1610612752,NYK,35.0,0.9,1.8,0.486,1998
119,1545,DeJuan Wheat,1610612763,VAN,25.0,4.4,7.3,0.611,1998
120,1051,Dean Garrett,1610612750,MIN,32.0,6.8,12.1,0.566,1998
121,244,Dee Brown,1610612761,TOR,30.0,8.3,14.9,0.56,1998
122,209,Dell Curry,1610612749,MIL,35.0,6.4,11.5,0.551,1998
123,23,Dennis Rodman,1610612747,LAL,38.0,9.7,15.4,0.63,1998
124,192,Dennis Scott,1610612750,MIN,30.0,5.5,10.0,0.553,1998
125,1507,Derek Anderson,1610612739,CLE,24.0,8.0,13.1,0.61,1998
126,965,Derek Fisher,1610612747,LAL,24.0,6.5,10.3,0.63,1998
127,157,Derek Harper,1610612747,LAL,37.0,8.1,13.7,0.588,1998
128,400,Derek Strong,1610612753,ORL,31.0,5.2,8.5,0.614,1998
129,934,Derrick Coleman,1610612766,CHH,32.0,10.5,18.5,0.566,1998
130,365,Derrick McKey,1610612754,IND,32.0,4.4,7.4,0.594,1998
131,96,Detlef Schrempf,1610612760,SEA,36.0,12.6,20.4,0.616,1998
132,54,Dickey Simpkins,1610612741,CHI,27.0,10.2,16.3,0.624,1998
133,87,Dikembe Mutombo,1610612737,ATL,33.0,8.7,17.2,0.504,1998
134,1717,Dirk Nowitzki,1610612742,DAL,21.0,7.6,13.5,0.56,1998
135,1122,Dominique Wilkins,1610612753,ORL,39.0,3.7,6.0,0.607,1998
136,931,Don MacLean,1610612760,SEA,29.0,8.9,14.1,0.632,1998
137,690,Don Reid,1610612765,DET,25.0,5.3,9.3,0.567,1998
138,923,Donyell Marshall,1610612744,GSW,26.0,8.3,13.9,0.598,1998
139,57,Doug Christie,1610612761,TOR,29.0,10.5,17.9,0.588,1998
140,77,Doug Overton,1610612755,PHI,29.0,3.1,6.1,0.507,1998
141,28,Doug West,1610612763,VAN,32.0,6.9,11.6,0.599,1998
142,1003,Drew Barry,1610612760,SEA,26.0,3.5,6.0,0.578,1998
143,190,Duane Causwell,1610612748,MIA,31.0,2.5,4.5,0.547,1998
