,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,lessthan5ft_FGM,lessthan5ft_FGA,lessthan5ft_FG_PCT,5_9ft_FGM,5_9ft_FGA,5_9ft_FG_PCT,10_14ft_FGM,10_14ft_FGA,10_14ft_FG_PCT,15_19ft_FGM,15_19ft_FGA,15_19ft_FG_PCT,20_24ft_FGM,20_24ft_FGA,20_24ft_FG_PCT,SEASON
0,920,A.C. Green,1610612748,MIA,37.0,0.7,1.3,0.571,0.1,0.2,0.222,0.1,0.4,0.226,0.8,1.8,0.425,0.1,0.3,0.55,2000
1,2062,A.J. Guyton,1610612741,CHI,23.0,0.3,0.5,0.529,0.2,0.2,0.833,0.2,0.4,0.385,0.7,1.8,0.415,0.7,2.2,0.323,2000
2,243,Aaron McKie,1610612755,PHI,28.0,1.7,2.5,0.684,0.4,0.9,0.423,0.6,1.3,0.457,0.8,2.0,0.401,0.7,1.5,0.469,2000
3,1425,Aaron Williams,1610612751,NJN,29.0,2.4,4.3,0.563,0.6,1.7,0.369,0.3,0.8,0.324,0.3,1.0,0.278,0.0,0.1,0.167,2000
4,228,Adam Keefe,1610612744,GSW,31.0,0.6,1.1,0.539,0.1,0.2,0.333,0.1,0.4,0.261,0.1,0.5,0.194,0.1,0.3,0.438,2000
5,1502,Adonal Foyle,1610612744,GSW,26.0,1.6,3.4,0.462,0.8,2.2,0.354,0.2,0.6,0.333,0.1,0.3,0.5,0.0,0.0,1.0,2000
6,1559,Adrian Griffin,1610612738,BOS,26.0,0.3,0.7,0.419,0.1,0.3,0.364,0.1,0.2,0.286,0.1,0.5,0.167,0.2,0.5,0.368,2000
7,1733,Al Harrington,1610612754,IND,21.0,1.6,3.0,0.521,0.4,1.1,0.349,0.5,1.1,0.458,0.5,1.5,0.368,0.1,0.3,0.36,2000
8,673,Alan Henderson,1610612737,ATL,28.0,2.6,4.6,0.56,0.7,2.2,0.329,0.5,1.6,0.319,0.3,0.8,0.361,0.0,0.0,0.0,2000
9,275,Allan Houston,1610612752,NYK,30.0,0.8,1.8,0.436,0.5,1.4,0.375,1.2,2.6,0.48,2.4,5.1,0.472,1.5,3.1,0.465,2000
10,947,Allen Iverson,1610612755,PHI,26.0,4.3,7.1,0.603,0.9,3.1,0.276,1.2,3.6,0.336,2.3,6.1,0.382,1.3,2.8,0.445,2000
11,297,Alonzo Mourning,1610612748,MIA,31.0,3.7,5.2,0.706,0.5,1.6,0.333,0.8,2.1,0.37,0.6,1.6,0.381,0.0,0.2,0.0,2000
12,1541,Alvin Williams,1610612761,TOR,26.0,1.2,2.0,0.607,0.2,0.6,0.333,0.3,0.9,0.384,1.2,2.8,0.419,0.9,2.3,0.396,2000
13,1889,Andre Miller,1610612739,CLE,25.0,2.2,4.0,0.554,0.7,1.8,0.389,1.1,2.3,0.474,1.2,3.0,0.405,0.2,0.6,0.392,2000
14,692,Andrew DeClercq,1610612753,ORL,28.0,1.4,2.3,0.605,0.1,0.2,0.333,0.1,0.1,0.625,0.1,0.3,0.294,0.0,0.0,0.0,2000
15,1950,Andy Panko,1610612737,ATL,23.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,2000
16,358,Anfernee Hardaway,1610612756,PHX,29.0,1.3,1.8,0.714,0.8,1.3,0.6,0.0,0.8,0.0,1.0,3.0,0.333,0.8,2.3,0.333,2000
17,1712,Antawn Jamison,1610612744,GSW,25.0,4.1,6.5,0.633,1.6,4.2,0.387,0.7,2.3,0.317,1.9,5.0,0.375,1.2,3.4,0.355,2000
18,1853,Anthony Carter,1610612748,MIA,26.0,1.0,1.9,0.556,0.3,0.6,0.391,0.3,0.9,0.344,0.8,1.9,0.432,0.3,1.0,0.267,2000
19,924,Anthony Goldwire,1610612743,DEN,29.0,0.4,0.7,0.571,0.1,0.3,0.4,0.1,0.2,0.333,0.3,0.7,0.429,0.5,1.6,0.333,2000
20,1533,Anthony Johnson,1610612739,CLE,26.0,0.4,0.7,0.541,0.2,0.5,0.45,0.2,0.7,0.226,0.3,0.9,0.31,0.1,0.3,0.176,2000
21,193,Anthony Mason,1610612748,MIA,34.0,2.8,5.0,0.569,1.2,2.8,0.421,1.1,2.6,0.423,0.7,1.6,0.424,0.0,0.0,0.0,2000
22,292,Anthony Miller,1610612755,PHI,29.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2000
23,324,Anthony Peeler,1610612750,MIN,31.0,0.7,1.3,0.542,0.2,0.5,0.41,0.4,0.8,0.475,1.1,2.7,0.409,1.2,3.0,0.412,2000
24,952,Antoine Walker,1610612738,BOS,24.0,4.3,8.5,0.501,0.8,2.2,0.349,0.3,1.1,0.253,0.5,1.6,0.326,1.3,3.1,0.41,2000
25,1498,Antonio Daniels,1610612759,SAS,26.0,1.2,1.7,0.684,0.5,1.1,0.437,0.4,0.8,0.433,0.5,1.2,0.367,0.7,1.7,0.385,2000
26,213,Antonio Davis,1610612761,TOR,32.0,2.8,5.1,0.544,0.4,1.5,0.259,0.9,2.2,0.413,0.7,2.2,0.318,0.0,0.1,0.333,2000
